OrderDate	OrderID	CustomerID	CustomerName	OrderLineID	StockItemID	StockItemName	Quantity	UnitPrice
2016-01-14	64881	190	Tailspin Toys (Teutopolis, IL)	204349	11	USB food flash drive - cookie	2	32.00
2016-01-14	64881	190	Tailspin Toys (Teutopolis, IL)	204350	66	RC big wheel monster truck with remote control (Black) 1/50 scale	6	45.00
2016-01-14	64881	190	Tailspin Toys (Teutopolis, IL)	204351	175	Bubblewrap dispenser (Blue) 1.5m	4	240.00
2016-01-14	64882	200	Tailspin Toys (Tooele, UT)	204352	4	USB food flash drive - sushi roll	9	32.00
2016-01-14	64882	200	Tailspin Toys (Tooele, UT)	204353	57	IT joke mug - hardware: part of the computer that can be kicked (Black)	4	13.00
2016-01-14	64882	200	Tailspin Toys (Tooele, UT)	204354	16	DBA joke mug - mind if I join you? (White)	9	13.00
2016-01-14	64882	200	Tailspin Toys (Tooele, UT)	204355	107	Superhero action jacket (Blue) 3XS	4	25.00
2016-01-14	64883	576	Wingtip Toys (Goodings Grove, IL)	204356	199	Black and yellow heavy despatch tape  48mmx75m	144	3.70
2016-01-14	64883	576	Wingtip Toys (Goodings Grove, IL)	204357	211	Small 9mm replacement blades 9mm	100	4.10
2016-01-14	64883	576	Wingtip Toys (Goodings Grove, IL)	204358	99	The Gu red shirt XML tag t-shirt (Black) 5XL	60	18.00
2016-01-14	64883	576	Wingtip Toys (Goodings Grove, IL)	204359	108	Superhero action jacket (Blue) XXS	7	25.00
2016-01-14	64883	576	Wingtip Toys (Goodings Grove, IL)	204360	31	Developer joke mug - Oct 31 = Dec 25 (Black)	4	13.00
2016-01-14	64884	951	Eliza Persson	204361	100	The Gu red shirt XML tag t-shirt (Black) 6XL	108	18.00
2016-01-14	64884	951	Eliza Persson	204362	205	Tape dispenser (Blue)	20	32.00
2016-01-14	64884	951	Eliza Persson	204363	3	Office cube periscope (Black)	60	18.50
2016-01-14	64884	951	Eliza Persson	204364	218	Void fill 300 L bag (White) 300L	60	37.50
2016-01-14	64885	2	Tailspin Toys (Sylvanite, MT)	204365	224	Chocolate frogs 250g	144	8.55
2016-01-14	64885	2	Tailspin Toys (Sylvanite, MT)	204366	76	The Gu red shirt XML tag t-shirt (White) 3XS	72	18.00
2016-01-14	64885	2	Tailspin Toys (Sylvanite, MT)	204367	117	Superhero action jacket (Blue) 5XL	7	34.00
2016-01-14	64885	2	Tailspin Toys (Sylvanite, MT)	204368	53	IT joke mug - keyboard not found … press F1 to continue (Black)	5	13.00
2016-01-14	64885	2	Tailspin Toys (Sylvanite, MT)	204369	75	Ride on big wheel monster truck (Black) 1/12 scale	1	345.00
2016-01-14	64886	46	Tailspin Toys (Jemison, AL)	204370	167	10 mm Anti static bubble wrap (Blue) 50m	10	99.00
2016-01-14	64886	46	Tailspin Toys (Jemison, AL)	204371	220	Novelty chilli chocolates 250g	216	8.55
2016-01-14	64886	46	Tailspin Toys (Jemison, AL)	204372	160	20 mm Double sided bubble wrap 20m	100	33.00
2016-01-14	64886	46	Tailspin Toys (Jemison, AL)	204373	107	Superhero action jacket (Blue) 3XS	5	25.00
2016-01-14	64886	46	Tailspin Toys (Jemison, AL)	204374	17	DBA joke mug - mind if I join you? (Black)	5	13.00
2016-01-14	64887	104	Tailspin Toys (Wallagrass, ME)	204375	11	USB food flash drive - cookie	6	32.00
2016-01-14	64887	104	Tailspin Toys (Wallagrass, ME)	204376	170	20 mm Anti static bubble wrap (Blue) 50m	90	102.00
2016-01-14	64888	1029	Veronika Necesana	204377	215	Air cushion machine (Blue)	8	1899.00
2016-01-14	64888	1029	Veronika Necesana	204378	14	USB food flash drive - fortune cookie	6	32.00
2016-01-14	64889	42	Tailspin Toys (Arietta, NY)	204379	198	Black and orange this way up despatch tape  48mmx100m	216	4.10
2016-01-14	64889	42	Tailspin Toys (Arietta, NY)	204380	203	Tape dispenser (Black)	60	32.00
2016-01-14	64889	42	Tailspin Toys (Arietta, NY)	204381	153	Small sized bubblewrap roll 10m	80	4.50
2016-01-14	64889	42	Tailspin Toys (Arietta, NY)	204382	11	USB food flash drive - cookie	8	32.00
2016-01-14	64889	42	Tailspin Toys (Arietta, NY)	204383	49	Developer joke mug - this code was generated by a tool (Black)	2	13.00
2016-01-14	64890	1032	Som Mukherjee	204384	103	Alien officer hoodie (Black) XXL	8	35.00
2016-01-14	64890	1032	Som Mukherjee	204385	217	Void fill 200 L bag (White) 200L	90	25.00
2016-01-14	64890	1032	Som Mukherjee	204386	21	DBA joke mug - you might be a DBA if (Black)	4	13.00
2016-01-14	64891	944	Ida Celma	204387	97	The Gu red shirt XML tag t-shirt (Black) 3XL	36	18.00
2016-01-14	64891	944	Ida Celma	204388	117	Superhero action jacket (Blue) 5XL	6	34.00
2016-01-14	64891	944	Ida Celma	204389	59	RC toy sedan car with remote control (Red) 1/50 scale	3	25.00
2016-01-14	64892	86	Tailspin Toys (New Lexington, OH)	204390	42	Developer joke mug - understanding recursion requires understanding recursion (White)	1	13.00
2016-01-14	64892	86	Tailspin Toys (New Lexington, OH)	204391	208	Permanent marker red 5mm nib (Red) 5mm	24	2.70
2016-01-14	64892	86	Tailspin Toys (New Lexington, OH)	204392	124	Ogre battery-powered slippers (Green) L	1	32.00
2016-01-14	64893	164	Tailspin Toys (Rothsville, PA)	204393	178	Shipping carton (Brown) 500x310x310mm	175	2.55
2016-01-14	64893	164	Tailspin Toys (Rothsville, PA)	204394	133	Furry gorilla with big eyes slippers (Black) XL	6	32.00
2016-01-14	64893	164	Tailspin Toys (Rothsville, PA)	204395	161	20 mm Double sided bubble wrap 50m	90	108.00
2016-01-14	64893	164	Tailspin Toys (Rothsville, PA)	204396	141	Furry animal socks (Pink) XL	12	5.00
2016-01-14	64894	898	Gopalgobinda Sikdar	204397	88	The Gu red shirt XML tag t-shirt (White) 7XL	84	18.00
2016-01-14	64894	898	Gopalgobinda Sikdar	204398	109	Superhero action jacket (Blue) XS	6	25.00
2016-01-14	64894	898	Gopalgobinda Sikdar	204400	213	Air cushion film 200mmx100mm 325m	2	87.00
2016-01-14	64895	11	Tailspin Toys (Devault, PA)	204401	26	DBA joke mug - SELECT caffeine FROM mug (White)	4	13.00
2016-01-14	64895	11	Tailspin Toys (Devault, PA)	204402	157	10 mm Double sided bubble wrap 20m	50	30.00
2016-01-14	64895	11	Tailspin Toys (Devault, PA)	204403	83	The Gu red shirt XML tag t-shirt (White) XXL	120	18.00
2016-01-14	64896	1020	Hai Banh	204404	23	DBA joke mug - it depends (Black)	7	13.00
2016-01-14	64896	1020	Hai Banh	204405	97	The Gu red shirt XML tag t-shirt (Black) 3XL	108	18.00
2016-01-14	64897	59	Tailspin Toys (Edgartown, MA)	204406	214	Air cushion film 200mmx200mm 325m	6	90.00
2016-01-14	64897	59	Tailspin Toys (Edgartown, MA)	204408	110	Superhero action jacket (Blue) S	8	25.00
2016-01-14	64897	59	Tailspin Toys (Edgartown, MA)	204409	7	USB food flash drive - pizza slice	5	32.00
2016-01-14	64898	545	Wingtip Toys (Jamison, IA)	204410	128	Plush shark slippers (Gray) L	2	32.00
2016-01-14	64898	545	Wingtip Toys (Jamison, IA)	204411	131	Furry gorilla with big eyes slippers (Black) M	4	32.00
2016-01-14	64898	545	Wingtip Toys (Jamison, IA)	204412	163	32 mm Double sided bubble wrap 20m	90	37.00
2016-01-14	64898	545	Wingtip Toys (Jamison, IA)	204413	43	Developer joke mug - understanding recursion requires understanding recursion (Black)	3	13.00
2016-01-14	64898	545	Wingtip Toys (Jamison, IA)	204414	220	Novelty chilli chocolates 250g	24	8.55
2016-01-14	64899	1035	Manjunatha Karnik	204415	51	Developer joke mug - old C developers never die (Black)	2	13.00
2016-01-14	64899	1035	Manjunatha Karnik	204416	200	Black and yellow heavy despatch tape 48mmx100m	96	4.10
2016-01-14	64899	1035	Manjunatha Karnik	204417	34	Developer joke mug - fun was unexpected at this time (White)	1	13.00
2016-01-14	64899	1035	Manjunatha Karnik	204418	96	The Gu red shirt XML tag t-shirt (Black) XXL	84	18.00
